first_currency;second_currency;UNIX timestamp;open;high;low;close;volume
BTC;USDT;1,52885E+12;6872;6890.51;6435;6530;36722.2
BTC;USDT;1,52893E+12;6530;6627.6;6118.68;6292.78;46185.5
BTC;USDT;1,52902E+12;6292.78;6720;6260;6635.98;44478.1
BTC;USDT;1,52911E+12;6638.67;6666.66;6362.31;6388.9;30018.3
BTC;USDT;1,52919E+12;6380.01;6560;6320.86;6483.98;22277.2
BTC;USDT;1,52928E+12;6482.5;6589.03;6422;6449.61;19847.2
BTC;USDT;1,52937E+12;6444.06;6794.38;6380;6712.46;31821.4
BTC;USDT;1,52945E+12;6711.39;6841.74;6653;6741.21;24311.4
BTC;USDT;1,52954E+12;6740;6817.23;6551.81;6761.51;26359.8
BTC;USDT;1,52963E+12;6763.21;6795;6672.57;6718.84;25428.9
BTC;USDT;1,52971E+12;6717.69;6733.97;5918.94;6045;52157.4
BTC;USDT;1,5298E+12;6045.92;6260;6008.48;6149.98;26622.8
BTC;USDT;1,52988E+12;6149.98;6259.8;5750;6136.97;47446
BTC;USDT;1,52997E+12;6137.95;6350;6061.97;6252;39164.5
BTC;USDT;1,53006E+12;6252;6272.54;6035;6070.78;19377.2
BTC;USDT;1,53014E+12;6065.89;6190.43;5971;6133.73;19225.7
BTC;USDT;1,53023E+12;6134.73;6173.01;5827;5853.98;30585.3
BTC;USDT;1,53032E+12;5851.01;6300;5780;6197.92;33911.3
BTC;USDT;1,5304E+12;6197.92;6528.99;6186.03;6390.07;37919.6
BTC;USDT;1,53049E+12;6391.08;6441.06;6251;6356.81;27563
BTC;USDT;1,53058E+12;6360.82;6685;6271.62;6615.29;36230.5
BTC;USDT;1,53066E+12;6615.29;6679.35;6463.01;6513.86;38657.8
BTC;USDT;1,53075E+12;6511.01;6784.92;6441.11;6586.98;23571.9
BTC;USDT;1,53084E+12;6585.53;6712;6453.33;6529.2;35072
BTC;USDT;1,53092E+12;6529.2;6648.54;6425;6609.78;29397.1
BTC;USDT;1,53101E+12;6609.79;6818.16;6508.88;6756.98;23973.9
BTC;USDT;1,53109E+12;6753.48;6780;6667.44;6712.1;24622.9
BTC;USDT;1,53118E+12;6712.1;6802.06;6612.24;6662.12;26732.4
BTC;USDT;1,53127E+12;6662.78;6681;6263;6296.91;38560.7
BTC;USDT;1,53135E+12;6296.91;6406;6278.99;6378.07;28715.5
BTC;USDT;1,53144E+12;6378.07;6380.28;6070;6250.57;31306.7
BTC;USDT;1,53153E+12;6251.4;6350;6110;6214.57;26375.3
BTC;USDT;1,53161E+12;6214.57;6335;6178;6251.99;17783.1
BTC;USDT;1,5317E+12;6250.9;6395;6225.4;6353.01;22979.2
BTC;USDT;1,53179E+12;6354.15;6747.3;6330.4;6723.35;36204.9
BTC;USDT;1,53187E+12;6723.33;7468.99;6652.04;7317.44;52105.4
BTC;USDT;1,53196E+12;7317.44;7588.08;7225.38;7381.9;59487.6
BTC;USDT;1,53204E+12;7381.88;7576.28;7270;7466.21;41218.3
BTC;USDT;1,53213E+12;7468.86;7700;7273;7337.53;46140.3
BTC;USDT;1,53222E+12;7337.47;7458.47;7211;7398.78;28886.5
BTC;USDT;1,5323E+12;7399.25;7582.4;7335.5;7394.79;30270.2
BTC;USDT;1,53239E+12;7394.78;7833;7375;7721.01;41646.3
BTC;USDT;1,53248E+12;7721.65;8486;7696;8397.24;60121.2
BTC;USDT;1,53256E+12;8397.24;8491.77;8050;8175.64;48257.6
BTC;USDT;1,53265E+12;8175.63;8315.69;7850.06;7920;43223.5
BTC;USDT;1,53274E+12;7920;8285;7805;8188.57;43671
BTC;USDT;1,53282E+12;8188.57;8246.54;8067;8225.04;26215.2
BTC;USDT;1,53291E+12;8225.04;8294.51;8115;8211;25531.2
BTC;USDT;1,533E+12;8210.99;8273;7866;8173.92;39692.4
BTC;USDT;1,53308E+12;8171.4;8180;7633;7730.93;48296.9
BTC;USDT;1,53317E+12;7735.67;7750;7430;7604.58;42582.3
