Date;MarketCap;TradeVolume;ClosePrice
08/12/2015;6167020000;954462000;412.93
09/12/2015;6235070000;1528970000;417.368
10/12/2015;6230410000;1275840000;416.91
11/12/2015;6762810000;1623480000;452.415
12/12/2015;6517990000;1484340000;435.815
14/12/2015;6631780000;1497160000;443.277
15/12/2015;6794810000;896686000;453.914
17/12/2015;6834980000;1302610000;456.473
18/12/2015;6946910000;1135230000;463.816
19/12/2015;6922220000;556941000;462.053
20/12/2015;6610550000;1175790000;441.129
21/12/2015;6562510000;1416880000;437.809
22/12/2015;6540510000;1296400000;436.237
23/12/2015;6640940000;955949000;442.821
24/12/2015;6823820000;1418670000;454.907
25/12/2015;6838200000;1058740000;455.742
26/12/2015;6364770000;1378750000;423.925
28/12/2015;6318060000;1310930000;420.708
29/12/2015;6491700000;1176230000;432.154
30/12/2015;6413210000;1227650000;426.811
31/12/2015;6479730000;1310030000;431.139
01/01/2016;6530620000;1338780000;434.427
02/01/2016;6530690000;769869000;434.326
